met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
11700,47-2,Construction Laborers,Construction and Extraction,6200,low,3952.12,3645.68,3172.00,2739.41,2342.77
11700,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,283.95,204.12,82.82,0.00,0.00
11700,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,654.69,470.64,190.97,0.00,0.00
11700,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,506.18,435.79,326.45,225.99,133.34
11700,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,420.55,362.07,271.23,187.76,110.78
11700,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,696.32,599.49,449.08,310.88,183.43
12060,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,15887.53,13519.44,9790.01,6306.46,3042.91
12060,13-2,Accountants and Auditors,Business and Financial Operations,500,low,5203.60,4427.98,3206.49,2065.54,996.63
12060,15-1,Software Developers,Computer and Mathematical,1000,low,30198.57,25001.42,17031.14,9821.34,3270.85
12060,15-2,Data Scientists,Computer and Mathematical,1000,low,3180.65,2633.26,1793.80,1034.43,344.50
12060,27-1,Graphic Designers,"Arts, Design, Entertainment, Sports, Media",2600,low,592.92,10.37,0.00,0.00,0.00
12060,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,396.55,6.94,0.00,0.00,0.00
12060,27-3,Public Relations Specialists,"Arts, Design, Entertainment, Sports, Media",2600,low,441.22,7.72,0.00,0.00,0.00
12060,27-4,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, Media",2600,low,160.81,2.81,0.00,0.00,0.00
12060,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,1733.79,1022.91,0.00,0.00,0.00
12060,47-2,Construction Laborers,Construction and Extraction,6200,low,6601.43,3894.74,0.00,0.00,0.00
12060,47-3,Helpers--Electricians,Construction and Extraction,6200,low,451.15,266.17,0.00,0.00,0.00
12060,47-4,Construction and Building Inspectors,Construction and Extraction,6200,low,670.60,395.64,0.00,0.00,0.00
12060,47-5,"Service Unit Operators, Oil and Gas",Construction and Extraction,6200,low,113.22,66.80,0.00,0.00,0.00
